title,firms,deal_value,summary,body,deal_date
RSM US and RSM UK form transatlantic partnership,"RSM US LLP, RSM UK Holdings Limited",Undisclosed (combined revenues ~$5bn),"RSM US and RSM UK formed a new transatlantic partnership effective January 1, 2026, following near-unanimous partner votes. The structure unites 23,000 professionals across the US, UK, Canada, Ireland, India, and El Salvador under common governance, aligned financial incentives, and coordinated client service — though each firm remains a separate legal entity. Brian Becker (RSM US CEO) was named CEO of the combined partnership.","This is a structural partnership rather than a full financial merger, but represents one of the most significant cross-border accounting combinations. RSM UK had approximately £600m in annual revenue. The partnership creates one of the largest middle-market-focused professional services organizations globally.",2026-01-01
DPC (Sumer Group) acquires Jacksons Chartered Certified Accountants,"DPC (part of Sumer Group), Jacksons Chartered Certified Accountants",Undisclosed,"Staffordshire-based DPC, part of Penta Capital and BlackRock-backed Sumer Group, acquired Nottinghamshire accountancy firm Jacksons CCA. The firm's 15 professionals joined Sumer Group's network of 3,000+ staff across 60+ offices, expanding DPC's East Midlands SME advisory presence.","Jacksons will continue to operate from its Nottingham and Newark offices. The deal forms part of Sumer's aggressive buy-and-build strategy, with the group having completed 34+ acquisitions since 2023.",2026-01-06
Cooper Parry Wealth acquires Gem & Co Financial Services,"Cooper Parry, Gem & Co Financial Services Ltd",Undisclosed (takes Cooper Parry pro forma turnover past £250m),"Lee Equity Partners-backed Cooper Parry acquired Wimbledon-based independent chartered financial planning firm Gem & Co, founded in 2001 by Gareth Rees. This was Cooper Parry's 8th deal since partnering with Lee Equity (December 2024), bringing Cooper Parry Wealth's funds under management close to £2bn and headcount near 100.",Cooper Parry is targeting £600m turnover by 2028 and £1bn by 2030. The firm has quadrupled revenue through 13+ acquisitions over two years. Gem & Co serves high-net-worth client families across London and the South East.,2026-01-12
VIEW Group acquires Cottons Group,"VIEW Group AS (Oslo/Stockholm), Cottons Group Ltd",Undisclosed (VIEW Group UK revenue now exceeds NOK 200m),"Norwegian-Swedish AccounTech group VIEW Group acquired 100% of shares in Cottons Group, a 120-employee Midlands accountancy firm operating across seven UK locations from its Rugby headquarters. The deal brings VIEW Group's UK headcount to approximately 190 people serving 8,000+ clients, placing it among the top 75 UK accountancy firms.","Cottons provides accounting, tax, payroll, and corporate finance services to SMEs. VIEW Group is listed on Euronext Growth and represents an unusual example of a Scandinavian technology-focused acquirer entering the UK accounting market. PitchBook records the effective deal date as December 1, 2025, though the public announcement was January 13, 2026.",2026-01-13
TC Group acquires Clarkes Chartered Accountants,"TC Group (TC Harlands division), Clarkes Chartered Accountants",Undisclosed,"TC Group acquired Clarkes, a well-established North East England accountancy practice, integrating it into the TC Harlands division. This was TC Group's first tuck-in acquisition since Harlands Stanley joined TC Group in August 2024. Clients of Clarkes gain access to TC Group's full suite including tax, HR, legal, and wealth management.",TC Group is an Accountancy Age Top 20 firm headquartered in West Sussex with 50+ offices across the UK. It was the most active acquirer in Q1 2026 with six completed deals.,2026-01-16
TC Group merges with BSN Associates,"TC Group, BSN Associates",Undisclosed,"TC Group merged with award-winning BSN Associates, based in Oldbury, West Midlands. BSN is notably one of the few all-female owned accountancy firms in the UK. The combined entity operates as TC BSN from BSN's existing Oldbury office, with clients gaining access to TC Group's national resources and technology platform.","TC Group merged with award-winning BSN Associates, based in Oldbury, West Midlands. BSN is notably one of the few all-female owned accountancy firms in the UK. The combined entity operates as TC BSN from BSN's existing Oldbury office, with clients gaining access to TC Group's national resources and technology platform.",2026-01-21
Xeinadin acquires Grunberg,"Xeinadin Group, Grunberg",Undisclosed,"Exponent PE-backed Xeinadin acquired Grunberg, a Top 100 accountancy practice based in Colindale, North West London. The deal adds 80+ professionals and nine partners, strengthening Xeinadin's London presence and specialist tax expertise across property, media, retail, healthcare, and hospitality sectors. Grunberg has operated for over 35 years.","Despite the collapse of Exponent's planned £1bn+ sale of Xeinadin in early February, the consolidator continued its acquisition strategy. Grunberg is approximately Xeinadin's 30th acquisition since its 2019 formation. Grunberg retains its branding as ""A Xeinadin Company.""",2026-01-27
Nuvo Accountancy acquires Pentlands Accountants and Advisors,"Nuvo Accountancy, Pentlands Accountants and Advisors",Seven-figure sum,"Derby-based Nuvo acquired Warwick-based Pentlands in a seven-figure deal, marking Nuvo's entry into Warwickshire. Pentlands (founded 1997) has 9 staff serving 250+ SME and micro-business clients. This is Nuvo's 34th acquisition in 21 years. Pentlands MD Elinor Perry remains as partner.",Nuvo is ranked #73 in the UK Top 100 Accountancy Firms and was named the fastest-growing firm in 2025. The firm is targeting a Top 25 position by 2030 through continued acquisitive growth.,2026-02-02
AVASK Global Compliance acquires SimplyVAT,"AVASK Global Compliance, SimplyVAT",Undisclosed,"UK-headquartered AVASK (Southampton) acquired Sussex-based VAT compliance specialist SimplyVAT, creating a leading global platform for indirect tax and regulatory compliance serving e-commerce businesses. SimplyVAT (founded 2014, based in Hove) continues as a standalone brand.",AVASK was advised by DLA Piper; SimplyVAT by DMH Stallard. Northbound Group served as investment banking advisor. The deal combines AVASK's technology-led compliance platform with SimplyVAT's specialist VAT expertise in the cross-border e-commerce space.,2026-02-03
Affinia combines with three UHY Hacker Young offices,"Affinia, UHY Hacker Young (London, Nottingham, Brighton offices)",Undisclosed (creates ~£100m revenue entity),"Sovereign Capital Partners-backed Affinia announced a landmark combination with three key UHY Hacker Young offices (London, Nottingham, Brighton), creating ""UHY Affinia"" — a combined business of approximately 1,000 people across 17 offices with revenues of £100m. The combined entity enters the UK Top 25 and becomes a member of the UHY Hacker Young Group. The remaining ten UHY UK member firms continue independently.","This is Affinia's 15th strategic acquisition and largest deal since Sovereign Capital backed the former LB Group in May 2023. The wider UHY UK network will have revenues exceeding £150m. Subject to regulatory approval. The deal significantly reshapes the mid-tier landscape and provides UHY's London, Nottingham, and Brighton operations with PE-backed investment capital.",2026-02-04
Dains acquires HURST,"Dains Group, HURST",Undisclosed,"IK Partners-backed Dains acquired Stockport-based HURST, a 120-strong accountancy and advisory firm founded in 1982, marking Dains' first expansion into the North West. This was Dains' 6th deal since IK Partners invested (buying out Horizon Capital at a ~£250m valuation in December 2024) and its 16th acquisition since 2021.","HURST provides audit, tax advisory, corporate finance, and digital transformation services. Led by managing partner Tim Potter. Dains was advised by Eight Advisory, Mercia, and PDW; HURST was advised by Buzzacott and DWF. CEO Richard McNeilly described HURST as ""an exceptional firm with a reputation for quality, innovation and long-term client relationships.""",2026-02-05
Streets Chartered Accountants merges with Brayshaw Morey,"Streets Chartered Accountants, Brayshaw Morey",Undisclosed,"Stamford-based Brayshaw Morey (founded 1987 by former tax inspectors) merged with acquisitive Streets Chartered Accountants, forming Streets Brayshaw Morey. Ross Clephane continues to head the Stamford office. The merger strengthens Streets' Lincolnshire coverage and takes the group to 36+ offices.","Streets pursues a merger-led growth strategy as an alternative to PE-backed consolidation. The firm has built a national network through dozens of mergers over many years, retaining local branding in each location.",2026-02-09
NatWest agrees to acquire Evelyn Partners for £2.7bn,"NatWest Group, Evelyn Partners (sold by Permira and Warburg Pincus)",£2.7 billion (enterprise value),"NatWest Group agreed to acquire Evelyn Partners from PE firms Permira and Warburg Pincus for £2.7bn, creating the UK's leading private banking and wealth management business with combined £127bn assets under management. Completion expected summer 2026.","Note: This is primarily a wealth management transaction. Evelyn Partners (formerly Tilney Smith & Williamson) had already sold its Professional Services (accounting) arm to Apax Partners in November 2024 for approximately £700m. That accounting business now operates as S&W. However, the NatWest deal represents one of the largest PE exits in UK professional services history and signals ongoing institutional appetite for the sector.",2026-02-09
AAB merges with Kreston Reeves,"AAB, Kreston Reeves",Undisclosed (creates £200m+ combined revenue group),"Goldman Sachs Alternatives-backed AAB agreed to merge with South East-focused Kreston Reeves (£50m+ annual revenue, 550+ staff, 7 offices) in AAB's largest deal to date and its 18th since 2021. The combined entity will have 1,800+ staff across 23 UK and Ireland locations with revenues exceeding £200m.","Kreston Reeves becomes AAB's hub for London and the South East. Advised by Rothschild & Co and Shoosmiths (Kreston Reeves) and Addleshaw Goddard and Linklaters (AAB/Goldman Sachs). Aberdeen-founded AAB has been one of the most active acquirers in UK accountancy, having completed 16+ acquisitions since 2021 with Goldman Sachs backing. Expected to close Spring 2026.",2026-02-10
Xeinadin acquires TBL Accountants,"Xeinadin Group, TBL Accountants",Undisclosed,"Xeinadin acquired TBL Accountants in Southend, Essex, expanding its support for small, owner-managed businesses and charities. TBL's team of 11 staff (led by partners Paul Stafford and Lisa Keith) joined Xeinadin's existing Southend office, bringing total headcount there to 22. TBL retains its own branding as ""A Xeinadin Company.""","TBL has 50+ years of combined experience spanning accountancy, taxation, VAT, payroll, and business consultancy. The acquisition reflects Xeinadin's continued appetite for smaller regional bolt-ons alongside larger deals.",2026-02-10
TC Group merges with MMG Chartered Accountants,"TC Group, MMG Chartered Accountants",Undisclosed,"TC Group acquired century-old MMG Chartered Accountants, expanding its footprint into Scotland. MMG has 7 offices across Perthshire, Angus, and Dundee (Perth, Dundee, Montrose, Forfar, Crieff, Brechin, Blairgowrie) and provides advisory, accountancy, and wealth management services. This was described as TC Group's third deal of 2026.","MMG has served business, organisational, and private clients across multiple sectors for over 100 years. The acquisition significantly extends TC Group's geographic reach beyond England and Wales.",2026-02-12
BK Plus acquires Harris Bassett,"BK Plus, Harris Bassett",Undisclosed,"Palatine-backed BK Plus expanded into Wales for the first time by acquiring Harris Bassett, which provides audit, tax, and business advisory services to SMEs across South and West Wales from offices in Swansea, Pembroke, and Llanelli. The deal takes BK Plus past 40 offices and marks its 5th anniversary.","Palatine-backed BK Plus expanded into Wales for the first time by acquiring Harris Bassett, which provides audit, tax, and business advisory services to SMEs across South and West Wales from offices in Swansea, Pembroke, and Llanelli. The deal takes BK Plus past 40 offices and marks its 5th anniversary.",2026-02-17
BDO UK and BDO Ireland exchange merger contracts,"BDO UK, BDO Ireland",Undisclosed (combined revenues ~£1.1bn / €1.26bn),"BDO UK and BDO Ireland exchanged contracts on an ""in-network"" merger following a successful partner vote. The combined firm will have approximately 550 partners, 8,500 employees, and 19+ offices across the UK and Ireland. Completion expected Spring 2026, subject to regulatory approval.","Discussions were first announced in November 2025. The merger creates one of the largest accounting firms across the UK and Ireland, with combined revenues of approximately £1.1bn. It will be structured as a single firm within the BDO International network. Dublin and Limerick offices will join BDO's existing 17 UK locations.",2026-02-18
Wilson Partners acquires Afford Bond,"Wilson Partners, Afford Bond",Undisclosed (takes Wilson Partners revenues to ~£50m),"Berkshire-based Wilson Partners acquired North West firm Afford Bond (established in the 1920s; offices in Nantwich, Wilmslow, and Manchester; 79 staff). This is Wilson Partners' first expansion beyond the South of England and its 11th acquisition since securing PE investment in 2021. Total headcount rises to approximately 460 staff across 14 locations, with revenue growing more than tenfold through targeted acquisitions.","Berkshire-based Wilson Partners acquired North West firm Afford Bond (established in the 1920s; offices in Nantwich, Wilmslow, and Manchester; 79 staff). This is Wilson Partners' first expansion beyond the South of England and its 11th acquisition since securing PE investment in 2021. Total headcount rises to approximately 460 staff across 14 locations, with revenue growing more than tenfold through targeted acquisitions.",2026-02-19
Sumer Group acquires Moore Thompson,"Sumer Group, Moore Thompson",Undisclosed,"Penta Capital and BlackRock-backed Sumer welcomed Moore Thompson, a 100-person firm with 100+ years of heritage and deep agricultural specialism. Moore Thompson operates from five offices across the East of England (Spalding, Wisbech, Market Deeping, Peterborough, Stamford).","The acquisition bolsters Sumer's East of England corridor alongside existing hubs including RMT Accountants (North East), BHP (Yorkshire), and Scrutton Bland (East Anglia). Sumer now generates revenue close to £300m with approximately 3,000 staff across 70 locations. The group was simultaneously exploring a potential £1bn+ sale, engaging Continuum to review strategic options.",2026-02-19
The Arkk Alliance acquires DSL Accounting,"The Arkk Alliance, DSL Accounting",Undisclosed,"Leamington Spa-based The Arkk Alliance acquired DSL Accounting, a local practice founded in 1997 with five team members. The DSL team relocated to Arkk Alliance's Leamington Spa office and will fully transition to the Arkk brand. Arkk Alliance employs 20 people and supports approximately 1,250 clients.","Leamington Spa-based The Arkk Alliance acquired DSL Accounting, a local practice founded in 1997 with five team members. The DSL team relocated to Arkk Alliance's Leamington Spa office and will fully transition to the Arkk brand. Arkk Alliance employs 20 people and supports approximately 1,250 clients.",2026-02-25
TC Group merges with Smith and Goulding,"TC Group, Smith and Goulding Accountants",Undisclosed,"TC Group merged with Smith and Goulding, extending its presence in the North West across Bolton, Warrington, and Chorley. The deal aligns with TC Group's strategy of offering holistic services spanning tax, legal, financial planning, and accounting.","TC Group merged with Smith and Goulding, extending its presence in the North West across Bolton, Warrington, and Chorley. The deal aligns with TC Group's strategy of offering holistic services spanning tax, legal, financial planning, and accounting.",2026-02-27
Xeinadin acquires Accountancy Cloud,"Xeinadin Group, Accountancy Cloud",Undisclosed,"Xeinadin acquired London-based Accountancy Cloud, a specialist practice providing subscription-based finance services for high-growth startups and venture-backed businesses (pre-seed to Series B). The 25-person team is relocating to Xeinadin's West End office. Co-founders Wes Rashid and Asima Hafesji remain in leadership.","Founded in 2014, Accountancy Cloud has supported tech ventures in raising over £500m. The acquisition represents an unusual move for a consolidator — targeting a tech-forward, subscription-model practice rather than a traditional accountancy firm. It signals Xeinadin's ambition to serve the startup and scale-up segment.",2026-03-02
Price Bailey acquires External Accounts Ltd,"Price Bailey, External Accounts Ltd",Undisclosed,"Price Bailey acquired External Accounts Ltd, a well-established practice serving clients across Norfolk and Suffolk from offices in Norwich and Great Yarmouth. The deal includes the return of former Price Bailey manager Matt Leggett as a Partner, strengthening the firm's Business Advisory offering and regional footprint across East Anglia.","Price Bailey acquired External Accounts Ltd, a well-established practice serving clients across Norfolk and Suffolk from offices in Norwich and Great Yarmouth. The deal includes the return of former Price Bailey manager Matt Leggett as a Partner, strengthening the firm's Business Advisory offering and regional footprint across East Anglia.",2026-03-02
BK Plus acquires Crowther Chartered Accountants,"BK Plus, Crowther Chartered Accountants",Undisclosed,"BK Plus acquired Huddersfield-based Crowther Chartered Accountants (founded 1995, led by Steve Crowther), reinforcing its Yorkshire presence. Crowther specialises in advising owner-managed businesses and continues operating from its Huddersfield premises. This was BK Plus's second deal of the quarter.","BK Plus acquired Huddersfield-based Crowther Chartered Accountants (founded 1995, led by Steve Crowther), reinforcing its Yorkshire presence. Crowther specialises in advising owner-managed businesses and continues operating from its Huddersfield premises. This was BK Plus's second deal of the quarter.",2026-03-03
TC Group acquires Little and Neal,"TC Group (TC Harlands division), Little and Neal",Undisclosed,"TC Group acquired Ferryhill-based Little and Neal in County Durham, further expanding in the North East. The acquisition followed the death of partner Alan Neal; remaining partner Lynsey Ibbetson will stay to manage the transition. Little and Neal integrates into TC Group's Harlands division and its 50+ office national network.","TC Group acquired Ferryhill-based Little and Neal in County Durham, further expanding in the North East. The acquisition followed the death of partner Alan Neal; remaining partner Lynsey Ibbetson will stay to manage the transition. Little and Neal integrates into TC Group's Harlands division and its 50+ office national network.",2026-03-10
Xeinadin acquires Gregory Priestley & Stewart,"Xeinadin Group, Gregory Priestley & Stewart (GP&S)",Undisclosed,"Xeinadin acquired Midlands-based GP&S, with offices in Long Eaton and Sutton-in-Ashfield, Nottinghamshire. GP&S has 22 staff with an average tenure of 15 years and provides audit, tax, corporate finance, payroll, VAT, and business advisory services with sector specialisms in construction, audiology, property, education, and businesses with international operations.","Xeinadin acquired Midlands-based GP&S, with offices in Long Eaton and Sutton-in-Ashfield, Nottinghamshire. GP&S has 22 staff with an average tenure of 15 years and provides audit, tax, corporate finance, payroll, VAT, and business advisory services with sector specialisms in construction, audiology, property, education, and businesses with international operations.",2026-03-16
TC Group merges with Thompson Taraz Rand,"TC Group, Thompson Taraz Rand",Undisclosed,"TC Group merged with Thompson Taraz Rand, expanding its presence across Cambridge and surrounding areas including Lolworth, Newmarket, and Royston. TTR serves both corporate and personal clients and will continue operating from existing regional offices. This was TC Group's 6th deal in Q1 2026.","TC Group merged with Thompson Taraz Rand, expanding its presence across Cambridge and surrounding areas including Lolworth, Newmarket, and Royston. TTR serves both corporate and personal clients and will continue operating from existing regional offices. This was TC Group's 6th deal in Q1 2026.",2026-03-24
