title,firms,deal_value,summary,body,deal_date
Cinven completes majority buyout of Grant Thornton UK,"Grant Thornton UK, Cinven",~£1.5 billion,"Cinven completed the largest PE investment in a UK accountancy firm. GT has 5,500+ employees, 240+ partners, and £724m net revenue. Partners received average payouts of £682k and staff shared a £39m bonus pool.","Cinven completed the largest PE investment in a UK accountancy firm. GT has 5,500+ employees, 240+ partners, and £724m net revenue. Partners received average payouts of £682k and staff shared a £39m bonus pool.",2025-04-16
"Apax acquires Evelyn Partners professional services arm, creating S&W","Evelyn Partners, Apax Partners, S&W",£700 million,"Evelyn Partners sold its accountancy/professional services business to Apax. The entity relaunched as S&W (building on Smith & Williamson heritage) with ~1,800 employees and 120+ partners across 15 UK offices.","Evelyn Partners sold its accountancy/professional services business to Apax. The entity relaunched as S&W (building on Smith & Williamson heritage) with ~1,800 employees and 120+ partners across 15 UK offices.",2025-03-31
MHA lists on AIM in landmark accountancy IPO,MHA (Baker Tilly UK),£271m market cap; £98m raised,"MHA became the first major UK accounting firm to IPO, listing on London's AIM market. Proceeds earmarked for acquisitions, AI/tech investment, and partner exits. FY2025 revenue reached £224.2m (up 45%).","MHA became the first major UK accounting firm to IPO, listing on London's AIM market. Proceeds earmarked for acquisitions, AI/tech investment, and partner exits. FY2025 revenue reached £224.2m (up 45%).",2025-04-15
Lee Equity Partners takes majority stake in Cooper Parry,"Cooper Parry, Lee Equity Partners, Waterland Private Equity (exiting)",Undisclosed,"US-based Lee Equity replaced Waterland as Cooper Parry's capital partner, described as ""one of the largest deals of its kind in the global accountancy market."" CP had £180m turnover and 1,450 staff.","US-based Lee Equity replaced Waterland as Cooper Parry's capital partner, described as ""one of the largest deals of its kind in the global accountancy market."" CP had £180m turnover and 1,450 staff.",2025-04-16
IK Partners acquires majority stake in Dains,"Dains, IK Partners, Horizon Capital (exiting)",Undisclosed (Horizon achieved 8x MOIC / 107% IRR),"IK Partners acquired control of Dains from Horizon Capital. Dains had 765 employees, £80m+ revenue, and 17,000+ SME clients.","IK Partners acquired control of Dains from Horizon Capital. Dains had 765 employees, £80m+ revenue, and 17,000+ SME clients.",2025-01-24
Goldman Sachs Alternatives acquires AAB,"AAB, Goldman Sachs Alternatives, August Equity (exiting)",~£250m (reported),"Goldman Sachs acquired AAB from August Equity, which had tripled the firm's size since 2021. AAB had crossed £100m revenue with 1,000+ employees.","Goldman Sachs acquired AAB from August Equity, which had tripled the firm's size since 2021. AAB had crossed £100m revenue with 1,000+ employees.",2025-07-01
Abry Partners makes first UK accountancy PE investment in Burgess Hodgson,"Burgess Hodgson, Abry Partners",Undisclosed,"US-based Abry Partners made a primary PE investment in Canterbury-based Burgess Hodgson (200+ staff, 5,000+ SME clients), the first such US-to-UK primary PE deal in accountancy.","US-based Abry Partners made a primary PE investment in Canterbury-based Burgess Hodgson (200+ staff, 5,000+ SME clients), the first such US-to-UK primary PE deal in accountancy.",2025-06-09
Bishop Fleming secures minority PE investment from Synova,"Bishop Fleming, Synova",Undisclosed,"South West/Midlands firm Bishop Fleming (£48m+ fee income, 9 offices) secured minority investment from Synova to fund M&A growth toward £200m+ revenue. This was Synova's first accountancy investment.","South West/Midlands firm Bishop Fleming (£48m+ fee income, 9 offices) secured minority investment from Synova to fund M&A growth toward £200m+ revenue. This was Synova's first accountancy investment.",2025-06-18
RSM UK and RSM US form transatlantic partnership,"RSM UK, RSM US",~$5bn combined revenue,"Partners voted overwhelmingly to form a transatlantic partnership effective January 1, 2026, uniting 23,000 professionals under shared governance.","Partners voted overwhelmingly to form a transatlantic partnership effective January 1, 2026, uniting 23,000 professionals under shared governance.",2025-10-23
BDO UK and BDO Ireland announce merger,"BDO UK, BDO Ireland",~£1.1bn combined revenue,"BDO UK and BDO Ireland announced advanced merger talks in November 2025, creating a combined firm with 8,500 employees and ~550 partners. Completion expected spring 2026.","BDO UK and BDO Ireland announced advanced merger talks in November 2025, creating a combined firm with 8,500 employees and ~550 partners. Completion expected spring 2026.",2025-11-05
AAB and Kreston Reeves announce combination,"AAB, Kreston Reeves",>£200m combined revenue,"Kreston Reeves (550+ employees) agreed to combine with AAB, creating a 1,800-strong group. Subject to regulatory approval, expected to close spring 2026.","Kreston Reeves (550+ employees) agreed to combine with AAB, creating a 1,800-strong group. Subject to regulatory approval, expected to close spring 2026.",2025-12-15
Howden acquires Evelyn Partners employee benefits arm,"Howden, Evelyn Partners Financial Services",Undisclosed,"Howden agreed to acquire EPFS, the employee benefits consultancy with 38 professionals across London, Bristol, Glasgow and Guildford. Completion expected Q1 2026.","Howden agreed to acquire EPFS, the employee benefits consultancy with 38 professionals across London, Bristol, Glasgow and Guildford. Completion expected Q1 2026.",2025-11-11
Evelyn Partners sells Fund Solutions to Thesis Holdings,"Evelyn Partners, Thesis Holdings",Undisclosed (£10.6bn AUG),"Evelyn Partners sold its fund solutions business (161 funds, £10.6bn assets under governance, 75 Glasgow staff) to Thesis Holdings.","Evelyn Partners sold its fund solutions business (161 funds, £10.6bn assets under governance, 75 Glasgow staff) to Thesis Holdings.",2025-07-01
Xeinadin prepares £800m+ PE sale (later collapsed),"Xeinadin, Exponent PE, Evercore",~£800m–£1bn target,Exponent appointed Evercore to run an auction for Xeinadin at £800m+. The process collapsed in early 2026 as bids fell short.,Exponent appointed Evercore to run an auction for Xeinadin at £800m+. The process collapsed in early 2026 as bids fell short.,2025-05-27
Sumer Group explores £1bn sale,"Sumer, Penta Capital, BlackRock",~£1bn target valuation,"Sumer engaged Continuum to oversee a strategic review potentially culminating in a sale at ~£1bn. Sumer had 2,400+ people and 65 offices.","Sumer engaged Continuum to oversee a strategic review potentially culminating in a sale at ~£1bn. Sumer had 2,400+ people and 65 offices.",2025-09-02
Xeinadin acquires Landmark Accountants,"Xeinadin, Landmark Accountants",Undisclosed,"Watford-based firm (28 staff) specialising in real estate, construction, creative industries and charities joins Xeinadin.","Watford-based firm (28 staff) specialising in real estate, construction, creative industries and charities joins Xeinadin.",2025-01-27
Xeinadin acquires CB Reid,"Xeinadin, CB Reid",Undisclosed,Dorchester-based firm (20 employees) focused on start-up businesses and cloud accounting.,Dorchester-based firm (20 employees) focused on start-up businesses and cloud accounting.,2025-02-12
Xeinadin acquires Gibson Booth,"Xeinadin, Gibson Booth Limited",Undisclosed,"Barnsley-based firm (est. 2014) rebranded as Xeinadin Barnsley; strengthens agricultural, charity and education sector offerings.","Barnsley-based firm (est. 2014) rebranded as Xeinadin Barnsley; strengthens agricultural, charity and education sector offerings.",2025-03-04
Xeinadin acquires King Hope,"Xeinadin, King Hope",Undisclosed,"Offices in Darlington, Northallerton and Hartlepool; brings Xeinadin's northern offices to 16. Focus on owner-managed businesses.","Offices in Darlington, Northallerton and Hartlepool; brings Xeinadin's northern offices to 16. Focus on owner-managed businesses.",2025-03-04
Xeinadin acquires Warren & Partners (Ireland),"Xeinadin, Warren & Partners",Undisclosed,Dublin-based tax advisory firm (est. 1994); first exclusively tax-focused firm to join Xeinadin in Ireland. Part of €40m Irish expansion plan.,Dublin-based tax advisory firm (est. 1994); first exclusively tax-focused firm to join Xeinadin in Ireland. Part of €40m Irish expansion plan.,2025-03-10
Xeinadin acquires Raffingers,"Xeinadin, Raffingers",Undisclosed,"London-based Top 100 firm; 70 professionals. Expertise in recruitment, charity, property, construction, COP8/COP9 HMRC enquiries. Then-largest Xeinadin deal.","London-based Top 100 firm; 70 professionals. Expertise in recruitment, charity, property, construction, COP8/COP9 HMRC enquiries. Then-largest Xeinadin deal.",2025-03-19
Xeinadin acquires Curtis Bowden & Thomas,"Xeinadin, Curtis Bowden & Thomas",Undisclosed,"South Wales firm (Tonypandy and Bridgend, est. 2003); 22-strong team providing accounting and taxation to local businesses. Xeinadin's first Welsh acquisition.","South Wales firm (Tonypandy and Bridgend, est. 2003); 22-strong team providing accounting and taxation to local businesses. Xeinadin's first Welsh acquisition.",2025-03-25
Xeinadin acquires JCS Accountants,"Xeinadin, JCS Accountants",Undisclosed,"Sutton, Surrey (est. 1927); 26 staff, ~£2m revenue. Specialist in charity audits and family-owned businesses.","Sutton, Surrey (est. 1927); 26 staff, ~£2m revenue. Specialist in charity audits and family-owned businesses.",2025-04-08
Xeinadin acquires Mudd Partners LLP,"Xeinadin, Mudd Partners LLP",Undisclosed,"Billericay, Essex; 5 partners, ~25 staff. Audit and owner-managed business specialist. Fully rebranded Xeinadin from day one.","Billericay, Essex; 5 partners, ~25 staff. Audit and owner-managed business specialist. Fully rebranded Xeinadin from day one.",2025-04-08
Xeinadin acquires KBG Accountants (Ireland),"Xeinadin, KBG Accountants",Undisclosed,"Largest Irish acquisition to date; 80+ professionals across 6 offices in Cavan, Longford and Leitrim. 30+ year heritage.","Largest Irish acquisition to date; 80+ professionals across 6 offices in Cavan, Longford and Leitrim. 30+ year heritage.",2025-05-20
Xeinadin acquires KBSP,"Xeinadin, KBSP",Undisclosed,"Long-established Swiss Cottage, North London practice (est. 1960s); audit, tax, accounts and consultancy to SMEs and national clients.","Long-established Swiss Cottage, North London practice (est. 1960s); audit, tax, accounts and consultancy to SMEs and national clients.",2025-06-10
Xeinadin acquires Silver Levene,"Xeinadin, Silver Levene",~£17m,"Largest acquisition to date; 19 partners, ~150 staff, two London locations. Specialises in legal, film, TV, music, publishing, pharmacy and private healthcare. 60+ year heritage.","Largest acquisition to date; 19 partners, ~150 staff, two London locations. Specialises in legal, film, TV, music, publishing, pharmacy and private healthcare. 60+ year heritage.",2025-06-19
Xeinadin acquires AGS Accountants,"Xeinadin, AGS Accountants & Business Advisors",Undisclosed,Dudley-based (est. 1989); 20+ professionals. SME-focused with healthcare sector expertise. Eighth acquisition of 2025.,Dudley-based (est. 1989); 20+ professionals. SME-focused with healthcare sector expertise. Eighth acquisition of 2025.,2025-07-15
Xeinadin acquires Bennett Whitehouse,"Xeinadin, Bennett Whitehouse",Undisclosed,Brierley Hill-based (est. 2018); 40-strong team specialising in franchise payroll and service charge accounting with proprietary software.,Brierley Hill-based (est. 2018); 40-strong team specialising in franchise payroll and service charge accounting with proprietary software.,2025-09-08
Xeinadin acquires Cooper Dawn Jerrom,"Xeinadin, Cooper Dawn Jerrom (CDJ)",Undisclosed,"West London practice advising SMEs in food, logistics and property. Known for ties to Western International Market and Felix Project charity.","West London practice advising SMEs in food, logistics and property. Known for ties to Western International Market and Felix Project charity.",2025-10-27
Cooper Parry acquires Cloud Orca,"Cooper Parry, Cloud Orca",Undisclosed,"Salesforce Summit Partner (55 staff, London + Philippines); clients include Revolut, Starling Bank, Monzo.","Salesforce Summit Partner (55 staff, London + Philippines); clients include Revolut, Starling Bank, Monzo.",2025-03-18
Cooper Parry acquires Liberty Corporate Finance,"Cooper Parry, Liberty Corporate Finance",Undisclosed,"Boutique advisory firm (est. 2006) specialising in management equity incentive advice during PE transactions. Offices in London, Madrid, Munich, Stockholm, Sydney.","Boutique advisory firm (est. 2006) specialising in management equity incentive advice during PE transactions. Offices in London, Madrid, Munich, Stockholm, Sydney.",2025-07-01
Cooper Parry acquires CavanaghKelly,"Cooper Parry, CavanaghKelly",Undisclosed,"Dungannon-based NI firm; 7 partners, 100+ staff. CP's first Northern Ireland entry and 15th deal in two years.","Dungannon-based NI firm; 7 partners, 100+ staff. CP's first Northern Ireland entry and 15th deal in two years.",2025-07-31
Cooper Parry acquires Fellwood Advisory,"Cooper Parry, Fellwood Advisory",Undisclosed,Mid-market debt advisory firm (est. 2023) specialising in £2m–£50m debt facilities. Pushes CP past £235m turnover.,Mid-market debt advisory firm (est. 2023) specialising in £2m–£50m debt facilities. Pushes CP past £235m turnover.,2025-08-04
Cooper Parry acquires URM Consulting,"Cooper Parry, URM Consulting Services",Undisclosed,"Reading-based cybersecurity specialist (70 staff, est. 20 years). Pushes CP past £240m.","Reading-based cybersecurity specialist (70 staff, est. 20 years). Pushes CP past £240m.",2025-10-01
Cooper Parry acquires Hutcheon Mearns,"Cooper Parry, Hutcheon Mearns",Undisclosed,Aberdeen-based professional services firm; expands CP into Scotland. Pushes pro forma turnover past £250m.,Aberdeen-based professional services firm; expands CP into Scotland. Pushes pro forma turnover past £250m.,2025-10-13
Cooper Parry acquires Gem & Co,"Cooper Parry, Gem & Co Limited",Undisclosed,South West London chartered financial planning firm (est. 2001). Eighth deal since Lee Equity partnership.,South West London chartered financial planning firm (est. 2001). Eighth deal since Lee Equity partnership.,2025-12-01
Cooper Parry acquires embracent,"Cooper Parry, embracent",Undisclosed,London-based digital transformation and IT consultancy (est. 2015). Seventh deal since Lee Equity.,London-based digital transformation and IT consultancy (est. 2015). Seventh deal since Lee Equity.,2025-12-01
Sumer acquires BHP,"Sumer, BHP",Undisclosed (£37m fee income),"150-year-old Yorkshire firm; 420+ staff across Sheffield, Leeds, York, Cleckheaton, Chesterfield. Largest independent practice to join Sumer in 2025.","150-year-old Yorkshire firm; 420+ staff across Sheffield, Leeds, York, Cleckheaton, Chesterfield. Largest independent practice to join Sumer in 2025.",2025-12-09
Sumer acquires Moore Thompson,"Sumer, Moore Thompson",Undisclosed,"100-strong Lincolnshire firm (Spalding, Wisbech, Market Deeping, Peterborough, Stamford). Specialist in agricultural and rural businesses.","100-strong Lincolnshire firm (Spalding, Wisbech, Market Deeping, Peterborough, Stamford). Specialist in agricultural and rural businesses.",2025-12-04
DPC (Sumer hub) acquires Jacksons,"Sumer (DPC Accountants), Jacksons",Undisclosed,Nottinghamshire firm; 15 professionals from Nottingham and Newark offices.,Nottinghamshire firm; 15 professionals from Nottingham and Newark offices.,2025-06-01
Sumer acquires MMC,"Sumer, MMC",Undisclosed,London-based accountancy firm acquired as hub-led deal.,London-based accountancy firm acquired as hub-led deal.,2025-06-01
Sumer acquires Ramsay Brown,"Sumer, Ramsay Brown",Undisclosed,London-based accountancy firm; strengthens capital presence.,London-based accountancy firm; strengthens capital presence.,2025-06-01
Sumer acquires Price Pearson,"Sumer, Price Pearson",Undisclosed,Midlands-based firm; expands Midlands hub.,Midlands-based firm; expands Midlands hub.,2025-06-01
Scrutton Bland (Sumer hub) acquires Argents,"Sumer (Scrutton Bland), Argents",Undisclosed,Norwich-based firm; strengthens East Anglia presence.,Norwich-based firm; strengthens East Anglia presence.,2025-06-01
Carpenter Box (Sumer hub) merges with Hartley Fowler Brighton,"Sumer (Carpenter Box), Hartley Fowler (Brighton)",Undisclosed,"16 professionals including two new partners (Guy Rolliston, Daniel Chapman) from Hartley Fowler's Brighton office.","16 professionals including two new partners (Guy Rolliston, Daniel Chapman) from Hartley Fowler's Brighton office.",2025-10-01
BK Plus acquires four Scottish firms,"BK Plus, Walton Kilgour, Ian MacFarlane & Co, JC Wallace & Co, Bird Simpson & Co",Undisclosed,"Perth/Pitlochry, Falkirk, Glasgow, and Dundee practices. Walton Kilgour has 90+ years' heritage. Takes Scottish presence to 5 locations.","Perth/Pitlochry, Falkirk, Glasgow, and Dundee practices. Walton Kilgour has 90+ years' heritage. Takes Scottish presence to 5 locations.",2025-04-01
BK Plus acquires Walker Moyle and Pooleys,"BK Plus, Walker Moyle, Pooleys",Undisclosed,"Two Cornwall practices creating 6-office South West hub. Walker Moyle (Penzance, Redruth, St Ives) est. 1925.","Two Cornwall practices creating 6-office South West hub. Walker Moyle (Penzance, Redruth, St Ives) est. 1925.",2025-06-01
BK Plus acquires Andorran Chartered Accountants,"BK Plus, Andorran Chartered Accountants",Undisclosed,Cheltenham-based (est. 1998); 15 staff. Extends South West footprint into Gloucestershire.,Cheltenham-based (est. 1998); 15 staff. Extends South West footprint into Gloucestershire.,2025-06-01
BK Plus acquires Read Milburn,"BK Plus, Read Milburn",Undisclosed,"North Shields-based; accounting, taxation, payroll and company secretarial. Complements Jesmond, Newcastle office.","North Shields-based; accounting, taxation, payroll and company secretarial. Complements Jesmond, Newcastle office.",2025-07-28
BK Plus acquires Geens and Wells Richardson,"BK Plus, Geens Chartered Accountants, Wells Richardson",Undisclosed,250 years of combined heritage. Stoke-on-Trent-based Geens (est. 1884) adds probate/estate services.,250 years of combined heritage. Stoke-on-Trent-based Geens (est. 1884) adds probate/estate services.,2025-10-30
BK Plus acquires MDP,"BK Plus, MDP",Undisclosed,Birmingham city centre (45+ years' history); first BK Plus presence in Birmingham. Headcount reaches 700+.,Birmingham city centre (45+ years' history); first BK Plus presence in Birmingham. Headcount reaches 700+.,2025-12-01
BK Plus acquires Alliance Accountants,"BK Plus, Alliance Accountants",Undisclosed,Cheltenham and Ross-on-Wye offices. Headcount reaches 770+ across 38 offices.,Cheltenham and Ross-on-Wye offices. Headcount reaches 770+ across 38 offices.,2025-12-15
TC Group merges with Farnell Clarke,"TC Group, Farnell Clarke",Undisclosed,"Award-winning digital-first Norwich practice; forms ""TC Farnell Clarke.""","Award-winning digital-first Norwich practice; forms ""TC Farnell Clarke.""",2025-03-14
TC Group merges with Leonherman,"TC Group, Leonherman",Undisclosed,Manchester-based; adds outsourced finance capabilities in North West.,Manchester-based; adds outsourced finance capabilities in North West.,2025-04-30
TC Group merges with Elysium,"TC Group, Elysium",Undisclosed,Dorset-based practice; clients move to TC Group's Bournemouth office.,Dorset-based practice; clients move to TC Group's Bournemouth office.,2025-08-01
TC Group acquires Laverick Walton,"TC Group, Laverick Walton",Undisclosed,"Gateshead, Tyne and Wear; expands North East presence.","Gateshead, Tyne and Wear; expands North East presence.",2025-08-15
